Date,NVDA
2023-04-03,27.946849822998047
2023-04-04,27.4351806640625
2023-04-05,26.86355209350586
2023-04-06,27.019453048706055
2023-04-10,27.561098098754883
2023-04-11,27.1513671875
2023-04-12,26.477802276611328
2023-04-13,26.445823669433594
2023-04-14,26.740633010864258
2023-04-17,26.984474182128906
2023-04-18,27.649044036865234
2023-04-19,27.912870407104492
2023-04-20,27.086406707763672
2023-04-21,27.101398468017578
2023-04-24,27.024450302124023
2023-04-25,26.223970413208008
2023-04-26,26.93850326538086
2023-04-27,27.208328247070312
2023-04-28,27.73099136352539
2023-05-01,28.8912353515625
2023-05-02,28.191688537597656
2023-05-03,27.78395652770996
2023-05-04,27.544109344482422
2023-05-05,28.661388397216797
2023-05-08,29.132080078125
2023-05-09,28.55245590209961
2023-05-10,28.866252899169922
2023-05-11,28.5594482421875
2023-05-12,28.32160758972168
2023-05-15,28.934207916259766
2023-05-16,29.194040298461914
2023-05-17,30.158411026000977
2023-05-18,31.657440185546875
2023-05-19,31.243709564208984
2023-05-22,31.155763626098633
2023-05-23,30.668079376220703
2023-05-24,30.518178939819336
2023-05-25,37.955345153808594
2023-05-26,38.920719146728516
2023-05-30,40.084964752197266
2023-05-31,37.80944061279297
2023-06-01,39.74419021606445
2023-06-02,39.30147171020508
2023-06-05,39.14558029174805
2023-06-06,38.62891387939453
2023-06-07,37.454551696777344
2023-06-08,38.488990783691406
2023-06-09,38.748844146728516
2023-06-12,39.46045684814453
2023-06-13,40.99961471557617
2023-06-14,42.973541259765625
2023-06-15,42.629730224609375
2023-06-16,42.668704986572266
2023-06-20,43.784095764160156
2023-06-21,43.02151107788086
2023-06-22,43.001529693603516
2023-06-23,42.185970306396484
2023-06-26,40.60982894897461
2023-06-27,41.8531494140625
2023-06-28,41.094566345214844
2023-06-29,40.79972839355469
2023-06-30,42.27891540527344
2023-07-03,42.389854431152344
2023-07-05,42.29391098022461
2023-07-06,42.08002471923828
2023-07-07,42.47980499267578
2023-07-10,42.156982421875
2023-07-11,42.38186264038086
2023-07-12,43.878047943115234
2023-07-13,45.9519157409668
2023-07-14,45.444190979003906
2023-07-17,46.43565368652344
2023-07-18,47.46808624267578
2023-07-19,47.05131149291992
2023-07-20,45.49516296386719
2023-07-21,44.284820556640625
2023-07-24,44.5876579284668
2023-07-25,45.654075622558594
2023-07-26,45.42719650268555
2023-07-27,45.874961853027344
2023-07-28,46.724491119384766
2023-07-31,46.7035026550293
2023-08-01,46.48162841796875
2023-08-02,44.244850158691406
2023-08-03,44.4907112121582
2023-08-04,44.65562057495117
2023-08-07,45.39221954345703
2023-08-08,44.63963317871094
2023-08-09,42.530784606933594
2023-08-10,42.364871978759766
2023-08-11,40.832706451416016
2023-08-14,43.729122161865234
2023-08-15,43.9160270690918
2023-08-16,43.46227264404297
2023-08-17,43.32034683227539
2023-08-18,43.27537155151367
2023-08-21,46.941375732421875
2023-08-22,45.64308166503906
2023-08-23,47.09029769897461
2023-08-24,47.13726806640625
2023-08-25,45.992897033691406
2023-08-28,46.809444427490234
2023-08-29,48.75738525390625
2023-08-30,49.237117767333984
2023-08-31,49.328067779541016
2023-09-01,48.48253631591797
2023-09-05,48.52151870727539
2023-09-06,47.03919982910156
2023-09-07,46.219573974609375
2023-09-08,45.55088424682617
2023-09-11,45.157066345214844
2023-09-12,44.84920883178711
2023-09-13,45.463932037353516
2023-09-14,45.55988693237305
2023-09-15,43.87966537475586
2023-09-18,43.94562530517578
2023-09-19,43.49983596801758
2023-09-20,42.21943283081055
2023-09-21,40.99799728393555
2023-09-22,41.590721130371094
2023-09-25,42.20244216918945
2023-09-26,41.89158248901367
2023-09-27,42.448326110839844
2023-09-28,43.069034576416016
2023-09-29,43.47884750366211
2023-10-02,44.76124954223633
2023-10-03,43.49683380126953
2023-10-04,44.02059555053711
2023-10-05,44.66729736328125
2023-10-06,45.74080276489258
2023-10-09,45.25202560424805
2023-10-10,45.77678298950195
2023-10-11,46.78431701660156
2023-10-12,46.923248291015625
2023-10-13,45.439937591552734
2023-10-16,46.07365036010742
2023-10-17,43.91764831542969
2023-10-18,42.176448822021484
2023-10-19,42.08149719238281
2023-10-20,41.36782455444336
2023-10-23,42.95509338378906
2023-10-24,43.64276885986328
2023-10-25,41.759639739990234
2023-10-26,40.30731964111328
2023-10-27,40.481239318847656
2023-10-30,41.14193344116211
2023-10-31,40.7611083984375
2023-11-01,42.305397033691406
2023-11-02,43.485843658447266
2023-11-03,44.98414993286133
2023-11-06,45.729801177978516
2023-11-07,45.933712005615234
2023-11-08,46.55242156982422
2023-11-09,46.92824935913086
2023-11-10,48.31260299682617
2023-11-13,48.59747314453125
2023-11-14,49.632991790771484
2023-11-15,48.86534881591797
2023-11-16,49.45708084106445
2023-11-17,49.27516555786133
2023-11-20,50.385650634765625
2023-11-21,49.920860290527344
2023-11-22,48.69343185424805
2023-11-24,47.75386428833008
2023-11-27,48.21965408325195
2023-11-28,47.79884338378906
2023-11-29,48.117698669433594
2023-11-30,46.74833679199219
2023-12-01,46.74333953857422
2023-12-04,45.48891067504883
2023-12-05,46.54851531982422
2023-12-06,45.48591613769531
2023-12-07,46.57851028442383
2023-12-08,47.48816680908203
2023-12-11,46.6094970703125
2023-12-12,47.63911056518555
2023-12-13,48.06995391845703
2023-12-14,48.331844329833984
2023-12-15,48.87164306640625
2023-12-18,50.05820083618164
2023-12-19,49.58537673950195
2023-12-20,48.092933654785156
2023-12-21,48.97161102294922
2023-12-22,48.81167221069336
2023-12-26,49.260498046875
2023-12-27,49.3984489440918
