Date,AAPL
2023-04-03,164.29551696777344
2023-04-04,163.7615966796875
2023-04-05,161.9126739501953
2023-04-06,162.80252075195312
2023-04-10,160.2021942138672
2023-04-11,158.986083984375
2023-04-12,158.2939910888672
2023-04-13,163.69239807128906
2023-04-14,163.3463592529297
2023-04-17,163.3660888671875
2023-04-18,164.5921173095703
2023-04-19,165.73904418945312
2023-04-20,164.77008056640625
2023-04-21,163.15846252441406
2023-04-24,163.4649658203125
2023-04-25,161.92257690429688
2023-04-26,161.9126739501953
2023-04-27,166.51022338867188
2023-04-28,167.76589965820312
2023-05-01,167.6769256591797
2023-05-02,166.63876342773438
2023-05-03,165.56105041503906
2023-05-04,163.91976928710938
2023-05-05,171.61204528808594
2023-05-08,171.54283142089844
2023-05-09,169.8323516845703
2023-05-10,171.60214233398438
2023-05-11,171.79000854492188
2023-05-12,170.8593292236328
2023-05-15,170.36428833007812
2023-05-16,170.36428833007812
2023-05-17,170.97811889648438
2023-05-18,173.31472778320312
2023-05-19,173.42361450195312
2023-05-22,172.47315979003906
2023-05-23,169.8593292236328
2023-05-24,170.13653564453125
2023-05-25,171.275146484375
2023-05-26,173.69094848632812
2023-05-30,175.54241943359375
2023-05-31,175.49290466308594
2023-06-01,178.3047637939453
2023-06-02,179.15623474121094
2023-06-05,177.7998046875
2023-06-06,177.43350219726562
2023-06-07,176.05728149414062
2023-06-08,178.77999877929688
2023-06-09,179.16616821289062
2023-06-12,181.96807861328125
2023-06-13,181.4928436279297
2023-06-14,182.12649536132812
2023-06-15,184.16607666015625
2023-06-16,183.0868682861328
2023-06-20,183.17601013183594
2023-06-21,182.1363983154297
2023-06-22,185.14627075195312
2023-06-23,184.82940673828125
2023-06-26,183.43341064453125
2023-06-27,186.19573974609375
2023-06-28,187.3739471435547
2023-06-29,187.7105712890625
2023-06-30,192.0471649169922
2023-07-03,190.55215454101562
2023-07-05,189.43333435058594
2023-07-06,189.90858459472656
2023-07-07,188.789794921875
2023-07-10,186.74032592773438
2023-07-11,186.21559143066406
2023-07-12,187.88880920410156
2023-07-13,188.6511688232422
2023-07-14,188.7996826171875
2023-07-17,192.06698608398438
2023-07-18,191.80953979492188
2023-07-19,193.1659698486328
2023-07-20,191.21548461914062
2023-07-21,190.0373077392578
2023-07-24,190.8392791748047
2023-07-25,191.70062255859375
2023-07-26,192.57191467285156
2023-07-27,191.30462646484375
2023-07-28,193.8887176513672
2023-07-31,194.5026092529297
2023-08-01,193.67092895507812
2023-08-02,190.6709442138672
2023-08-03,189.27491760253906
2023-08-04,180.18594360351562
2023-08-07,177.07708740234375
2023-08-08,178.01763916015625
2023-08-09,176.423583984375
2023-08-10,176.20578002929688
2023-08-11,176.2652587890625
2023-08-14,177.9209442138672
2023-08-15,175.9281768798828
2023-08-16,175.05572509765625
2023-08-17,172.50778198242188
2023-08-18,172.9935760498047
2023-08-21,174.3319854736328
2023-08-22,175.7100830078125
2023-08-23,179.5666961669922
2023-08-24,174.86737060546875
2023-08-25,177.0782470703125
2023-08-28,178.64468383789062
2023-08-29,182.54098510742188
2023-08-30,186.04071044921875
2023-08-31,186.25881958007812
2023-09-01,187.83518981933594
2023-09-05,188.07310485839844
2023-09-06,181.34136962890625
2023-09-07,176.03726196289062
2023-09-08,176.6519012451172
2023-09-11,177.82177734375
2023-09-12,174.78805541992188
2023-09-13,172.71597290039062
2023-09-14,174.23287963867188
2023-09-15,173.5091094970703
2023-09-18,176.44371032714844
2023-09-19,177.53428649902344
2023-09-20,173.9849853515625
2023-09-21,172.43836975097656
2023-09-22,173.29098510742188
2023-09-25,174.56991577148438
2023-09-26,170.48526000976562
2023-09-27,168.9683837890625
2023-09-28,169.2261505126953
2023-09-29,169.74168395996094
2023-10-02,172.25991821289062
2023-10-03,170.9215087890625
2023-10-04,172.1707000732422
2023-10-05,173.4099578857422
2023-10-06,175.9678497314453
2023-10-09,177.45498657226562
2023-10-10,176.860107421875
2023-10-11,178.25804138183594
2023-10-12,179.16024780273438
2023-10-13,177.31617736816406
2023-10-16,177.18728637695312
2023-10-17,175.63075256347656
2023-10-18,174.3319854736328
2023-10-19,173.9552764892578
2023-10-20,171.39739990234375
2023-10-23,171.51634216308594
2023-10-24,171.95257568359375
2023-10-25,169.6326446533203
2023-10-26,165.458740234375
2023-10-27,166.77734375
2023-10-30,168.82958984375
2023-10-31,169.30548095703125
2023-11-01,172.47801208496094
2023-11-02,176.04718017578125
2023-11-03,175.13502502441406
2023-11-06,177.6929168701172
2023-11-07,180.2606964111328
2023-11-08,181.32154846191406
2023-11-09,180.84567260742188
2023-11-10,185.04489135742188
2023-11-13,183.45652770996094
2023-11-14,186.0773468017578
2023-11-15,186.64320373535156
2023-11-16,188.33084106445312
2023-11-17,188.31097412109375
2023-11-20,190.05816650390625
2023-11-21,189.25405883789062
2023-11-22,189.919189453125
2023-11-24,188.5889434814453
2023-11-27,188.4102325439453
2023-11-28,189.0157928466797
2023-11-29,187.99330139160156
2023-11-30,188.56907653808594
2023-12-01,189.84970092773438
2023-12-04,188.0528564453125
2023-12-05,192.0138702392578
2023-12-06,190.92185974121094
2023-12-07,192.85768127441406
2023-12-08,194.28721618652344
2023-12-11,191.77561950683594
2023-12-12,193.2945098876953
2023-12-13,196.5208740234375
2023-12-14,196.6697540283203
2023-12-15,196.13369750976562
2023-12-18,194.46592712402344
2023-12-19,195.5082550048828
2023-12-20,193.41360473632812
2023-12-21,193.2646942138672
2023-12-22,192.19256591796875
2023-12-26,191.6465606689453
2023-12-27,191.74581909179688
